file,var,label,patterns
y9STU.sav,Y9H_ST11_1,독서활동 (책을 선물 받을 때 기쁘다),도서|독서|학예회|박물관|미술관
y9STU.sav,Y9H_ST11_2,독서활동 (매일 신문을 읽는다 (인터넷신문포함)),도서|독서|학예회|박물관|미술관
y9STU.sav,Y9H_ST11_3,독서활동 (체계적으로 계획을 세워 독서를 한다),도서|독서|학예회|박물관|미술관
y9STU.sav,Y9H_ST11_4,독서활동 (시간이 날 때마다 책을 읽는다),도서|독서|학예회|박물관|미술관
y9STU.sav,Y9H_ST11_5,독서활동 (서점이나 도서관에 가는 것을 좋아한다),도서|독서|학예회|박물관|미술관
y9STU.sav,Y9H_ST11_6,독서활동 (어릴 때부터 책을 많이 읽어 왔다),도서|독서|학예회|박물관|미술관
y9STU.sav,Y9H_ST11_7,독서활동 (독서 관련 프로그램에 참여한다),도서|독서|학예회|박물관|미술관
y9STU.sav,Y9H_ST11_8,독서활동 (책을 끝까지 읽기가 어렵다),도서|독서|학예회|박물관|미술관
y9STU.sav,Y9H_ST11_9,독서활동 (주로 읽는 책은 만화책이나 가벼운 소설이다),도서|독서|학예회|박물관|미술관
y9STU.sav,Y9H_ST11_10,독서활동 (잠시도 가만히 앉아서 책을 읽을 수가 없다),도서|독서|학예회|박물관|미술관
y9STU.sav,Y9H_ST21_1,자기효능감 (나는 아무리 어려운 내용이라도 이해할 자신이 있다),"효능,자기.?효능|학업.?효능"
y9STU.sav,Y9H_ST21_2,자기효능감 (나는 선생님의 수업이 복잡한 내용이라도 이해할 자신이 있다),"효능,자기.?효능|학업.?효능"
y9STU.sav,Y9H_ST21_3,자기효능감 (나는 학교에서 내준 과제물을 잘 할 자신이 있다),"효능,자기.?효능|학업.?효능"
y9STU.sav,Y9H_ST21_4,자기효능감 (나는 배운 내용을 능숙하게 사용할 자신이 있다),"효능,자기.?효능|학업.?효능"
y9STU.sav,Y9H_ST23_1,학습동기_외적조절동기 (나는 공부를 하지 않으면 부모님이 화를 내시기 때문에 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_2,"학습동기_외적조절동기 (나는 공부를 하지 않으면 선생님이 벌(야단, 체벌)을 주시므로 공부한다)",동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_3,학습동기_외적조절동기 (나는 부모님이 하라고 시키므로 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_4,학습동기_외적조절동기 (나는 선생님이 하라고 시키므로 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_5,학습동기_부과된조절동기 (나는 성적이 나쁘면 창피하기 때문에 공부한다),"동기|내재|외재|귀인,성취|성적|내신|점수"
y9STU.sav,Y9H_ST23_6,학습동기_부과된조절동기 (나는 선생님이 나를 무시하는 것을 원하지 않으므로 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_7,학습동기_부과된조절동기 (나는 친구들이 나를 똑똑한 학생으로 봐주기를 원하므로 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_8,학습동기_부과된조절동기 (나는 경쟁 상대를 이기기 위해서 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_9,학습동기_확인된조절동기 (나는 지식을 쌓아가는 것이 가치 있는 일이라고 믿기 때문에 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_10,학습동기_확인된조절동기 (나는 모르는 것들을 알아가기 위해서 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_11,학습동기_확인된조절동기 (나는 공부한 내용이 실생활에 유용하게 쓰일 것 같아 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_12,학습동기_확인된조절동기 (나는 나중에 좀 더 어려운 내용을 이해하는 데 도움이 될 것 같아 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_13,학습동기_내재적조절동기 (나는 지식을 쌓는 것이 즐거우므로 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_14,학습동기_내재적조절동기 (나는 공부하는 것이 재미있기 때문에 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_15,학습동기_내재적조절동기 (나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_16,학습동기_내재적조절동기 (나는 생각하는 것을 좋아하기 때문에 공부한다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_17,학습동기_무동기 (나는 나 자신이 학교에서 뭘 하고 있는지 모르겠다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_18,학습동기_무동기 (나는 공부를 왜 해야 하는지 모르겠다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_19,학습동기_무동기 (나는 솔직히 학교에서 시간을 낭비하는 것 같은 느낌이다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST23_20,학습동기_무동기 (나는 왜 학교에 가는지 모르겠다),동기|내재|외재|귀인
y9STU.sav,Y9H_ST26_1,학업스트레스(좋은 성적을 위해 공부를 열심히 하지 않으면 불안하다),성취|성적|내신|점수
